COD CURSO,NOME UNIDADE,COD ESTRUTURADO,COD DISCIPLINA,ID ATIV CURRIC,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,CH TOTAL,TIPO DISCIPLINA,NUM VERSAO,SIT VERSAO,TOTAL CH,SEMESTRE IDEAL,NUM MIN PERIODOS,NUM MAX PERIODOS,CH TOTAL CURSO,SIT ATIV,EMENTA,DESCR ESTRUTURA,TIPO AULA,NUM HORAS,CONTA CH,SITUACAO VERSAO,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0234,22638.0,TIN0234 - Ciência de Dados,6,3.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0238,22642.0,TIN0238 - Acessibilidade,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0239,22643.0,TIN0239 - Cibercultura,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0240,22644.0,TIN0240 - Ciência de Redes,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0241,22645.0,TIN0241 - Informática na Educação,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0242,22646.0,TIN0242 - Novas Formas de Economia,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0243,22647.0,TIN0243 - Pensamento Computacional,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0244,22648.0,TIN0244 - Pensamento Sistêmico,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0245,22346.0,TIN0245 - Projeto de Aplicação de Sistemas de Informação em um Contexto Específico,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0246,22649.0,TIN0246 - Teorias e Práticas de Sistemas de Informação,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
