COD CURSO,NUM VERSAO,DESCR ESTRUTURA,COD DISCIPLINA,NOME UNIDADE,COD ESTRUTURADO,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,TIPO AULA,NUM HORAS,CONTA CH,TIPO DISCIPLINA,SITUACAO VERSAO,CH TOTAL,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO,EMENTA
210,2000/2,Disciplinas obrigatórias,TIN0051,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estudo de Domínios de Aplicação 1,4,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,
210,2000/2,Disciplinas obrigatórias,TIN0052,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estudo de Domínios de Aplicação II,5,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,
210,2000/2,Disciplinas obrigatórias,TIN0052,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estudo de Domínios de Aplicação II,5,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,
210,2000/2,Disciplinas obrigatórias,TIN0053,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estudo de Domínios de Aplicação III,6,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,
210,2000/2,Disciplinas obrigatórias,TIN0053,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estudo de Domínios de Aplicação III,6,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,
210,2000/2,Disciplinas obrigatórias,TIN0054,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Atividades Curriculares de Extensão-1,5,3,Prática,90,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0055,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Atividades Curriculares de Extensão-2,6,3,Prática,90,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0056,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Atividades Curriculares de Extensão-3,7,3,Prática,90,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0057,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Atividades Curriculares de Extensão-4,8,3,Prática,90,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0012,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Cálculo Diferencial e Integral I,1,5,Prática,30,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0012,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Cálculo Diferencial e Integral I,1,5,Teórica,60,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0013,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Cálculo  Diferencial e Integral II,2,5,Prática,30,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0013,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Cálculo  Diferencial e Integral II,2,5,Teórica,60,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0014,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Probabilidade e Estatística,3,5,Prática,30,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0014,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Probabilidade e Estatística,3,5,Teórica,60,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0015,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Álgebra Linear,3,4,Prática,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TME0015,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Álgebra Linear,3,4,Teórica,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0025,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto e Construção de Sistemas com SGDB,5,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,
210,2000/2,Disciplinas optativas,TIN0025,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto e Construção de Sistemas com SGDB,5,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,
210,2000/2,Disciplinas optativas,TIN0034,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Banco de Dados em Ambiente Cliente-Servidor,5,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0034,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Banco de Dados em Ambiente Cliente-Servidor,5,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0035,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Administração de Banco de Dados,6,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0035,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Administração de Banco de Dados,6,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0036,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Banco de Dados Distribuídos e Datawarehousing,7,3,Prática,30,S,Obrigatória,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0036,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Banco de Dados Distribuídos e Datawarehousing,7,3,Teórica,30,S,Obrigatória,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0037,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Tópicos Avançados em Banco de Dados,8,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0037,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Tópicos Avançados em Banco de Dados,8,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0038,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Comunicação e Segurança de Dados,6,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0038,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Comunicação e Segurança de Dados,6,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0039,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto e Gerência de Redes Locais,7,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0039,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto e Gerência de Redes Locais,7,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0040,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Calibragem e Análise de Desempenho,7,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0040,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Calibragem e Análise de Desempenho,7,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0041,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Tópicos Avançados em Redes de Computadores,8,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0041,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Tópicos Avançados em Redes de Computadores,8,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0042,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Programação Linear,5,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0042,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Programação Linear,5,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0043,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Fluxo em Redes,7,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0043,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Fluxo em Redes,7,3,Teórica,30,S,Optativa,I,60,10,13,129,ATIVA,[object Object]
210,2000/2,Disciplinas optativas,TIN0044,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Algoritmos para Problemas Combinatórios,6,3,Prática,30,S,Optativa,I,60,10,13,129,ATIVA,
